,NAME (SYMBOL),OFFICIAL WEBSITE
0,Tether (USDT),https://tether.to/
1,Bitcoin (BTC),https://www.bitcoin.org
2,XRP (XRP),https://ripple.com/currency/
3,Solana (SOL),https://solana.com/
4,Cardano (ADA),https://www.cardano.org/en/home/
5,BNB (BNB),https://www.binance.com/
6,Binance USD (BUSD),https://www.paxos.com/busd/
7,Polkadot (DOT),https://polkadot.network/
8,USD Coin (USDC),https://www.circle.com/en/usdc
9,Ethereum (ETH),https://www.ethereum.org/
10,Shiba Inu (SHIB),https://shibatoken.com/
11,Lido Staked Ether (STETH),https://www.lido.fi
12,Litecoin (LTC),https://litecoin.org
13,Wrapped Bitcoin (WBTC),https://www.wbtc.network/
14,Avalanche (AVAX),https://www.avax.network/
15,TRON (TRX),https://tron.network
16,Dai (DAI),https://makerdao.com/
17,Chainlink (LINK),https://chain.link/
18,Polygon (MATIC),https://polygon.technology/
19,Stellar (XLM),https://www.stellar.org/
20,Dogecoin (DOGE),http://dogecoin.com/
21,FTX Token (FTT),https://ftx.com
22,Cronos (CRO),https://www.crypto.com/en/chain
23,LEO Token (LEO),https://www.bitfinex.com/
24,Bitcoin Cash (BCH),https://bch.info/
25,Algorand (ALGO),https://algorand.foundation/
26,ApeCoin (APE),https://apecoin.com/
27,Cosmos Hub (ATOM),http://cosmos.network/
28,Ethereum Classic (ETC),http://ethereumclassic.org
29,Monero (XMR),https://getmonero.org
30,Flow (FLOW),https://flow.com
31,Uniswap (UNI),https://uniswap.org/
32,The Sandbox (SAND),https://www.sandbox.game/en/
33,Theta Fuel (TFUEL),https://www.thetatoken.org/
34,VeChain (VET),https://www.vechain.org
35,Elrond (EGLD),https://elrond.com
36,NEAR Protocol (NEAR),https://nearprotocol.com/
37,OKB (OKB),https://www.okex.com/okb
38,Hedera (HBAR),https://www.hedera.com/
39,Decentraland (MANA),https://decentraland.org/
40,Filecoin (FIL),https://filecoin.io/
41,Frax (FRAX),https://frax.finance
42,Theta Network (THETA),https://www.thetatoken.org/
43,Tezos (XTZ),https://www.tezos.com/
44,DeFiChain (DFI),https://defichain.com/
45,cETH (CETH),https://compound.finance/
46,Axie Infinity (AXS),https://axieinfinity.com/
47,Internet Computer (ICP),https://dfinity.org/
48,PancakeSwap (CAKE),https://pancakeswap.finance/
49,Chain (XCN),https://chain.com/
50,cUSDC (CUSDC),https://compound.finance/
51,Zcash (ZEC),https://z.cash/
52,The Graph (GRT),https://thegraph.com/
53,EOS (EOS),https://eos.io/
54,Huobi BTC (HBTC),https://www.hbtc.finance/zh-cn/
55,Klaytn (KLAY),https://www.klaytn.foundation
56,KuCoin Token (KCS),https://www.kucoin.com/ucenter/signup?rcode=e21sNJ
57,Aave (AAVE),https://app.aave.com/?referral=93
58,Maker (MKR),https://makerdao.com/
59,BitTorrent (BTT),https://www.bittorrent.com/btt/
60,Magic Internet Money (MIM),https://abracadabra.money/ 
61,Bitcoin SV (BSV),https://bitcoinsv.com/
62,Helium (HNT),https://www.helium.com/
63,Huobi Token (HT),https://www.hbg.com
64,IOTA (MIOTA),http://iota.org/
65,Quant (QNT),https://www.quant.network
66,THORChain (RUNE),https://thorchain.org/
67,TerraUSD (UST),https://terra.money
68,STEPN (GMT),https://www.stepn.com/
69,TrueUSD (TUSD),https://trueusd.com/
70,Fantom (FTM),http://fantom.foundation
71,Pax Dollar (USDP),https://www.paxos.com/standard/
72,Radix (XRD),https://www.radixdlt.com/
73,eCash (XEC),https://e.cash/
74,Neutrino USD (USDN),https://neutrino.at/
75,cDAI (CDAI),https://compound.finance/
76,Arweave (AR),https://arweave.org/
77,GateToken (GT),https://gatechain.io/
78,Waves (WAVES),https://waves.tech/
79,Convex Finance (CVX),https://www.convexfinance.com/
80,Zilliqa (ZIL),https://www.zilliqa.com/
81,NEO (NEO),https://neo.org/
82,cUSDT (CUSDT),https://compound.finance/
83,BitDAO (BIT),https://www.bitdao.io/
84,Kusama (KSM),https://kusama.network/
85,Frax Share (FXS),https://frax.finance
86,Amp (AMP),https://amptoken.org
87,Enjin Coin (ENJ),https://enjin.io/
88,Celo (CELO),https://celo.org/
89,Dash (DASH),https://www.dash.org
90,NEXO (NEXO),https://nexo.io/
91,Gala (GALA),https://gala.games/
92,Basic Attention Token (BAT),https://basicattentiontoken.org/
93,Chiliz (CHZ),https://www.chiliz.com/
94,Harmony (ONE),https://harmony.one/
95,Loopring (LRC),https://loopring.org/
96,Stacks (STX),http://stacks.co/
97,Synthetix Network Token (SNX),https://www.synthetix.io/
98,PAX Gold (PAXG),https://www.paxos.com/paxgold/
99,Gnosis (GNO),https://gnosis.io/
